ID,Course Code,Course Title,Credit Hours,Faculty,School,Lecture Hours,Tutorial Hours,Lab Hours,Student Type,Elective
21,LRA206,Sociology of work,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
22,LRA207,African and Middle Eastern studies,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
23,LRA302,Introduction to Life Sciences,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
24,LRA303,Introduction to Environmental Biology,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
25,LRA304,Water and Politics in Africa and Middle East,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
26,LRA305,Astronomy,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
27,LRA306,Natural Resources and Sustainability,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
28,LRA403,Japanese Language (3),1,Faculty of International Business and Humanities,School of Humanities,0,0,2,UG,FALSE
29,LRA404,Japanese Language (4),1,Faculty of International Business and Humanities,School of Humanities,0,0,2,UG,FALSE
30,LRA407,English Language,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
31,LRA408,Arabic Language,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
32,LRA409,Research Methods,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
33,LRA410,Fundamentals of Communication,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
34,LRA411,Transformational Leadership,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
35,MTH111,Mathematics (1) ( Calculus + Linear Algebra),3,Faculty of Engineering and Applied Sciences,---,2,0,2,UG,FALSE
36,PHY111,Physics (1),3,Faculty of Engineering and Applied Sciences,---,2,0,2,UG,FALSE
37,CHM111,Chemistry (1),2,Faculty of Engineering and Applied Sciences,---,2,0,0,UG,FALSE
38,PHY112,Basic Sciences Lab-1 (Physics (1)),1,Faculty of Engineering and Applied Sciences,---,0,2,0,UG,FALSE
39,CHM112,Basic Sciences Lab-2 ( Chemistry (1)),1,Faculty of Engineering and Applied Sciences,---,0,2,0,UG,FALSE
40,MCE111,Mechanics (Statics + Dynamics),3,Faculty of Engineering and Applied Sciences,Mechatronics and Robotics Engineering,2,0,2,UG,FALSE
41,MTH121,Mathematics (2) (Calculus + Linear Algebra),3,Faculty of Engineering and Applied Sciences,---,2,0,2,UG,FALSE
42,PHY121,Physics (2),3,Faculty of Engineering and Applied Sciences,---,2,0,2,UG,FALSE
43,CHM121,Chemistry (2),2,Faculty of Engineering and Applied Sciences,---,2,0,0,UG,FALSE
44,PHY122,Basic Science Lab-3 (Physics (2)),1,Faculty of Engineering and Applied Sciences,---,0,2,0,UG,FALSE
46,MTH112,Business Mathematics (1),3,Faculty of Engineering and Applied Sciences,---,2,0,2,UG,FALSE
47,ECO111,Microeconomics,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
48,MGT111,Principles of Management,3,Faculty of International Business and Humanities,School of Humanities,2,2,0,UG,FALSE
49,ACC111,Accounting Principles,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
51,NAN501,Fundamentals of nanoscience,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
52,ECO121,Macroeconomics with International Applications,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
53,NAN502,Synthesis and characterization of nanomaterials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
54,HUM121,Introduction to Human Behavior,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
55,NAN503,Nanocomposite materials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
56,NAN504,Colloids and nanoparticles,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
57,MTH122,Business Mathematics (2),3,Faculty of Engineering and Applied Sciences,---,2,0,2,UG,FALSE
58,NAN505,Self-assembled nanostructures,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
59,NAN506,Sensors and actuators,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
60,NAN507,Nanomaterials for environment applications,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
61,ACC121,Introduction to Management Accounting,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
62,NAN508,Green synthesis of nanomaterials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
63,NAN509,Surfaces and thin films,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
64,NAN510,Membrane science for filtration and separation applications,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
66,NAN701,Project-based learning in Nanoscience,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
67,NAN801,M.Sc. Thesis,15,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
68,STA231,Business Statistics (1),2,Faculty of International Business and Humanities,School of International Business,1,2,0,UG,FALSE
69,MGT231,Organizational Behavior with International Applications,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
70,LAW231,Business Law,2,Faculty of International Business and Humanities,School of International Business,2,0,0,UG,FALSE
71,NAN601,Processing and applications of nanomaterials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
72,MKT231,Introduction to Marketing,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
73,NAN602,Nanomaterials for energy production and storage,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
74,ACC231,Intermediate Accounting (1),3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
75,NAN603,Optical and photonic properties of nanostructures,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
76,NAN604,Thermodynamics and statistical mechanics of nanomaterials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
77,NAN605,Nanoporous materials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
79,NAN606,Nanocatalysis,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
80,NAN607,Computational chemistry,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
81,NAN608,Supramolecular materials and medicine,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
82,NAN609,Current topics in nanoscience,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
83,NAN702,Seminars on advanced topics on nanomaterials synthesis and characterization.,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
84,NAN703,Seminars on advanced topics on nanomaterials application,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
85,NAN802,Ph.D. Thesis,27,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
86,BIO501,Molecular Biology and Genetic Engineering,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
87,HRM241,Human Resources Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
88,BIO502,Advanced Microbiology and Microbiological Techniques,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
89,BIO503,Advanced enzymology and cofactors,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
90,STA241,Business Statistics (2),2,Faculty of International Business and Humanities,School of International Business,1,2,0,UG,FALSE
91,BIO504,Hormones (biosynthesis and action),3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
92,FIN241,Introduction to Finance,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
93,BIO505,Techniques of cell and tissue cultures,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
94,ACC241,Intermediate Accounting (2),3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
95,BIO506,Molecular bases of plant stresses,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
96,BIO507,Biotechnology and food industry,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
97,BIO508,Bioethics and bio-safety in biotechnology,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
98,BIO701,Project-Based Learning in Agricultural Biotechnology,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
99,BIO702,Project-Based Learning in Food Biotechnology,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
100,BIO801,M.Sc. Thesis,15,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
101,BIO601,Molecular aspects of cell signaling,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
102,BIO602,"Genomics, proteomics and metabolomics                                                     ",3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
103,BIO603,"Bioreactors (Design, operation and product collection)                                    ",3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
104,BIO604,"Bioremediation (Cleaning polluted air, water and soil)                                    ",3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
105,BIO605,Bio-fuel production (from bacteria and algae),3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
106,BIO606,Bio-fertilizers and bio-pesticides,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
107,BIO607,Nano-biotechnology,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
108,BIO608,Biostatistics,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
109,BIO703,Seminars on Advanced Topics on Agricultural Biotechnology,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
110,BIO704,Seminars on Advanced Topics on Food Biotechnology,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
111,BIO802,Ph.D. Thesis,27,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
112,ACM501,Partial differential equations,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
113,ACM502,Numerical Analysis,3,Institute of Basic and Applied Sciences,---,2,0,2,PG,FALSE
114,ACM503,Advanced numerical methods for differential equations,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
115,ACM504,Applied linear algebra,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
116,ACM505,Dynamical systems,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
117,ACM506,Fractional differential equations I,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
118,ACM507,Scientific Computing,3,Institute of Basic and Applied Sciences,---,2,0,2,PG,FALSE
119,ACM508,Applied functional analysis,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
120,ACM509,Mathematical and computational modeling in science and engineering,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
121,ACM701,Project based learning in applied and computational mathematics,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
122,ACM801,M. Sc. Thesis,15,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
123,ACM601,Advanced ordinary differential equations,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
124,ACM602,Finite element analysis,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
125,ACM603,Computational methods for partial differential equations,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
126,ACM604,High performance computing I,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
127,ACM605,High performance computing II,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
128,ACM606,Fractional differential equations II,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
129,ACM607,Computational science and engineering,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
130,ACM608,Selected topics in applied and computational mathematics,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
131,ACM702,Seminars on advanced topics in applied and computational mathematics I,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
132,ACM703,Seminars on advanced topics in applied and computational mathematics II,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
133,ACM802,Ph.D. Thesis,27,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
134,MER501,Materials structures and defects,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
135,MER502,Energy resources and storage: economics and environment,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
136,EMA503,Materials science for energy applications,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
137,EMA504,Chemistry for energy science,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
138,EMA505,Semiconductors materials and processing,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
139,EMA506,Thermodynamics of materials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
140,EMA507,"Solar, Wind And Biomass Energies                                                          ",3,Institute of Basic and Applied Sciences,---,2,2,0,PG,FALSE
141,EMA508,Optical properties of luminescent materials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
142,EMA509,Device physics,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
143,EMA701,Project-based learning in energy materials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
144,EMA801,M.Sc. Thesis,15,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
145,MGT351,Introduction to International Business,3,Faculty of International Business and Humanities,---,2,2,0,UG,FALSE
146,ACC351,Costing Systems,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
147,FIN351,Financial Risk Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
148,IME 321,Operations Research,3,Faculty of Engineering and Applied Sciences,Industrial and Manufacturing Engineering,2,0,2,UG,FALSE
149,IME352,Structural Programming,3,Faculty of Engineering and Applied Sciences,Industrial and Manufacturing Engineering,2,0,2,UG,FALSE
150,CRC361,Japanese Business and Management Practices,2,Faculty of International Business and Humanities,School of International Business,2,0,0,UG,FALSE
153,FIN361,Financial Management and Control Systems,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
154,ACC361,Analysis and Design of Business Information Systems,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
155,ACC362,Advanced Financial Accounting,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
156,MGT471,Strategic Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
157,MGT472,E-Business,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
158,ACC471,Database Design and Management,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
159,ACC472,Senior Project (Internship 1),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
160,IME 325,Supply Chain and Logistics Management,3,Faculty of Engineering and Applied Sciences,Industrial and Manufacturing Engineering,2,0,2,UG,FALSE
161,ACC481,Advanced Management Accounting,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
162,ACC482,Auditing Computerized Systems,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
163,ACC483,Senior Project (Internship 2),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
164,HRM242,Career Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
165,HRM351,International Human Resources Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
166,HRM361,Developing Human Resources,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
167,HRM362,Performance Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
168,HRM471,Strategic Human Resources Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
169,HRM481,Employees Relations in Egypt and Japan,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
170,HRM482,Diversity management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
171,HRM484,Staffing,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
172,HRM485,Compensation and Rewards,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
173,HRM487,Human Resource Information Systems,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
174,HRM472,Senior Project ( Entrepreneurship 1 ),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
175,HRM483,Senior Project ( Entrepreneurship 2 ),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
176,EMA601,Smart materials and structures,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
177,EMA602,Chemical and statistical thermodynamics,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
178,EMA603,Topics on fuel cells,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
179,EMA604,Solid state chemistry and its applications,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
180,EMA605,Biomaterials,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
181,EMA606,"Solar photovoltaics: fundamentals, technology, and applications                           ",3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
182,EMA607,Advanced instrumentations and materials analysis,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
183,EMA608,Materials and devices for energy conversion,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
184,EMA609,Nanomaterials and energy,3,Institute of Basic and Applied Sciences,Institute of Basic and Applied Sciences,None,None,None,PG,FALSE
185,EMA702,Research seminars on advanced topics in energy materials l,3,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
186,EMA802,Ph.D. Thesis,27,Institute of Basic and Applied Sciences,---,0,0,0,PG,FALSE
188,HRM231,Leadership,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
191,ACC352,Introduction to Tax Accounting,2,Faculty of International Business and Humanities,School of International Business,1,2,0,UG,FALSE
194,ENT241,Entrepreneurship for the Creative Industries,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
195,ENT351,Introduction to Feasibility Studies,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
196,ENT242,International Entrepreneurship,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
198,ENT362,Entrepreneurial Marketing,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
199,ENT471,Entrepreneurship Strategy,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
200,ENT481,Green entrepreneurship and Innovation Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
201,ENT482,Social entrepreneurship,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
202,ENT484,Funding Entrepreneurial Ventures,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
203,ENT485,Entrepreneurship for Scientists,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
204,ENT486,Commercialization and Innovation,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
205,ENT487,Family Business Management.,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
206,ENT472,Senior Project Entrepreneurship 1,4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
207,ENT483,Senior Project Entrepreneurship 2,4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
208,MGT321,Production and Operation Management,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
209,ENT361,New Venture Creation,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
210,FIN362,Information Technology for Finance,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
211,FIN363,International Finance,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
212,FIN471,Financial markets and Institutions,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
213,FIN481,Business Analysis and Valuation,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
214,FIN482,Financial Portfolio Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
215,FIN484,Investment Management,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
216,FIN485,Advanced Corporate Finance,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
217,FIN486,Financial Planning,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
218,FIN487,Financial Derivatives,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
219,FIN472,Senior Project (Internship 1),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
220,FIN483,Senior Project Entrepreneurship 2,4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
222,MKT232,Consumer Behavior,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
223,MKT241,Services Marketing,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
224,MKT351,Integrated Marketing Communication,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
225,MKT361,Pricing Strategy,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
226,MKT362,International Marketing,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
227,MKT471,Marketing of High Tech Products & Innovations,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
228,MKT481,Green Marketing,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
229,MKT482,Marketing Research,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
230,MKT484,Product Development Management,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
231,MKT485,Digital Marketing and Social Media Strategy,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
232,MKT486,Marketing Analytics,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
233,MKT487,Marketing Channels,3,Faculty of International Business and Humanities,School of International Business,0,0,0,UG,FALSE
234,MKT488,Marketing for small business,3,Faculty of International Business and Humanities,School of International Business,2,1,0,UG,FALSE
235,MKT472,Senior Project ( Entrepreneurship 1 ),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
236,MKT483,Senior Project ( Entrepreneurship 2 ),4,Faculty of International Business and Humanities,School of International Business,0,2,6,UG,FALSE
237,Phd513,Seminar: Research Design And Interpretation,3,Faculty of International Business and Humanities,School of International Business,0,0,0,PG,FALSE
238,Phd523,Teaching Workshop (1),0,Faculty of International Business and Humanities,School of International Business,0,0,0,PG,FALSE
239,PHD611,Teaching Workshop (2),0,Faculty of International Business and Humanities,School of International Business,0,0,0,PG,FALSE
240,AIS511,Financial Accounting Seminar,3,Faculty of International Business and Humanities,School of International Business,3,0,0,PG,FALSE
241,AIS512,Quantitative Data Analysis,2,Faculty of International Business and Humanities,School of International Business,0,0,0,PG,FALSE
242,AIS513,Auditing Seminar,3,Faculty of International Business and Humanities,School of International Business,3,0,0,PG,FALSE
243,AIS521,Foundations of Information Systems and Assurance,3,Faculty of International Business and Humanities,School of International Business,3,0,0,PG,FALSE
244,AIS522,Accounting Information Systems Analysis and Design,3,Faculty of International Business and Humanities,School of International Business,3,0,0,PG,FALSE
248,ACC484,Financial Statement Analysis,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
249,ACC485,Lean Accounting,3,Faculty of International Business and Humanities,School of International Business,2,2,0,UG,FALSE
250,ACC486,Software Tools,3,Faculty of International Business and Humanities,School of International Business,2,0,2,UG,FALSE
